GST	South Georgia and the South Sandwich Islands Time	-0200
GST	Gulf Standard Time	+0400
GYT	Guyana Time	-0400
HDT	Hawaii–Aleutian Daylight Time	-0900
HAEC	Heure Avancée d'Europe Centrale French-language name for CEST	+0200
HST	Hawaii–Aleutian Standard Time	-1000
HKT	Hong Kong Time	+0800
HMT	Heard and McDonald Islands Time	+0500
HOVST	Hovd Summer Time (not used from 2017-present)	+0800
HOVT	Hovd Time	+0700
ICT	Indochina Time	+0700
IDLW	International Date Line West time zone	-1200
IDT	Israel Daylight Time	+0300
IOT	Indian Ocean Time	+0600
IRDT	Iran Daylight Time	+0430
IRKT	Irkutsk Time	+0800
IRST	Iran Standard Time	+0330
IST	Indian Standard Time	+0530
IST	Irish Standard Time	+0100
IST	Israel Standard Time	+0200
JST	Japan Standard Time	+0900
KALT	Kaliningrad Time	+0200
KGT	Kyrgyzstan Time	+0600
KOST	Kosrae Time	+1100
KRAT	Krasnoyarsk Time	+0700
KST	Korea Standard Time	+0900
LHST	Lord Howe Standard Time	+1030
LHST	Lord Howe Summer Time	+1100
LINT	Line Islands Time	+1400
MAGT	Magadan Time	+1200
MART	Marquesas Islands Time	-0930
MAWT	Mawson Station Time	+0500
MDT	Mountain Daylight Time (North America)	-0600
MET	Middle European Time (same zone as CET)	+0100
MEST	Middle European Summer Time (same zone as CEST)	+0200
MHT	Marshall Islands Time	+1200
MIST	Macquarie Island Station Time	+1100
MIT	Marquesas Islands Time	-0930
MMT	Myanmar Standard Time	+0630
MSK	Moscow Time	+0300
MST	Malaysia Standard Time	+0800
MST	Mountain Standard Time (North America)	-0700
MT (MST/MDT)	Mountain Time (North America)	-07 / -0600
MUT	Mauritius Time	+0400
MVT	Maldives Time	+0500
MYT	Malaysia Time	+0800
NCT	New Caledonia Time	+1100
NDT	Newfoundland Daylight Time	-0230
NFT	Norfolk Island Time	+1100
NOVT	Novosibirsk Time 	+0700
NPT	Nepal Time	+0545
NST	Newfoundland Standard Time	-0330
NT	Newfoundland Time	-0330
NUT	Niue Time	-1100
NZDT	New Zealand Daylight Time	+1300
NZST	New Zealand Standard Time	+1200
OMST	Omsk Time	+0600
ORAT	Oral Time	+0500
PDT	Pacific Daylight Time (North America)	-0700
PET	Peru Time	-0500
PETT	Kamchatka Time	+1200
PGT	Papua New Guinea Time	+1000
PHOT	Phoenix Island Time	+1300
PHT	Philippine Time	+0800
PHST	Philippine Standard Time	+0800
